Starting... 
2024-07-23 20:12:33.699380: Namespace(data_dir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', logfile='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/log_2024_7_23_20_12_33.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/output_nii', organs_file='organs14BTCV.key', out_channels=14) 
2024-07-23 20:12:33.887018: Inference on case ABD_005.nii.gz 
2024-07-23 20:13:34.727895: Mean Organ mean_precision: 0.9194109168507774 
2024-07-23 20:13:34.727946: Mean Organ mean_recall: 0.8699761200105757 
2024-07-23 20:13:34.862544: Inference on case ABD_033.nii.gz 
2024-07-23 20:13:38.175386:  Organ 1 Dice: 0.9663114547729492 
2024-07-23 20:13:38.175588:  Organ 1 HD: 1.0 
2024-07-23 20:13:38.175642:  Organ 1 IOU: 0.9348188195491364 
2024-07-23 20:13:38.175688:  Organ 1 precision: 0.9746930917127623 
2024-07-23 20:13:38.175732:  Organ 1 recall: 0.9580727921922454 
2024-07-23 20:13:39.308091:  Organ 2 Dice: 0.9172273874282837 
2024-07-23 20:13:39.308303:  Organ 2 HD: 2.0 
2024-07-23 20:13:39.308621:  Organ 2 IOU: 0.8471098486003107 
2024-07-23 20:13:39.308671:  Organ 2 precision: 0.9926883637995707 
2024-07-23 20:13:39.308715:  Organ 2 recall: 0.8524284730031867 
2024-07-23 20:13:40.420498:  Organ 3 Dice: 0.7903102040290833 
2024-07-23 20:13:40.420691:  Organ 3 HD: 10.246950765959598 
2024-07-23 20:13:40.420745:  Organ 3 IOU: 0.6533163806503292 
2024-07-23 20:13:40.420790:  Organ 3 precision: 0.9694714499175935 
2024-07-23 20:13:40.420834:  Organ 3 recall: 0.6670392875129295 
2024-07-23 20:13:41.513493:  Organ 4 Dice: 0.755235493183136 
2024-07-23 20:13:41.513690:  Organ 4 HD: 4.123105625617661 
2024-07-23 20:13:41.513743:  Organ 4 IOU: 0.6067295858787611 
2024-07-23 20:13:41.513809:  Organ 4 precision: 0.8040239262598978 
2024-07-23 20:13:41.513855:  Organ 4 recall: 0.7120292789058756 
2024-07-23 20:13:42.662588:  Organ 5 Dice: 0.7647671103477478 
2024-07-23 20:13:42.662783:  Organ 5 HD: 101.62922733505141 
2024-07-23 20:13:42.662836:  Organ 5 IOU: 0.6191278706350033 
2024-07-23 20:13:42.662882:  Organ 5 precision: 0.9038905122191442 
2024-07-23 20:13:42.662926:  Organ 5 recall: 0.6627579212281453 
2024-07-23 20:13:45.479176:  Organ 6 Dice: 0.9451353549957275 
2024-07-23 20:13:45.479372:  Organ 6 HD: 2.8284271247461903 
2024-07-23 20:13:45.479424:  Organ 6 IOU: 0.8959778908175435 
2024-07-23 20:13:45.479469:  Organ 6 precision: 0.986719574292633 
2024-07-23 20:13:45.479512:  Organ 6 recall: 0.9069144795749453 
2024-07-23 20:13:46.767390:  Organ 7 Dice: 0.8784695267677307 
2024-07-23 20:13:46.767586:  Organ 7 HD: 26.68332812825267 
2024-07-23 20:13:46.767647:  Organ 7 IOU: 0.783277449584374 
2024-07-23 20:13:46.767692:  Organ 7 precision: 0.9769505376995566 
2024-07-23 20:13:46.767735:  Organ 7 recall: 0.7980250156770843 
2024-07-23 20:13:48.005472:  Organ 8 Dice: 0.8157687783241272 
